abandon	оставить
ability	способность
able	способный
about	о
above	выше
abroad	за границей
absolute	абсолютный
absolutely	абсолютно
academic	академический
accept	принимать
acceptable	приемлемый
access	доступ
accident	несчастный случай
accommodation	размещение
accompany	сопровождать
according to	согласно с
account	счет
accurate	точный
accuse	обвинять
achieve	достигать
achievement	достижение
acknowledge	признавать
acquire	приобретать
across	через
act	действие
action	действие
active	активный
activity	деятельность
actor	актер
actress	актриса
actual	фактический
actually	на самом деле
ad	реклама
adapt	приспособиться
add	добавлять
addition	дополнение
additional	дополнительный
address	адрес
administration	администрация
admire	восхищаться
admit	признавать
adopt	принять
adult	взрослый
advance	продвижение
advanced	передовой
advantage	преимущество
adventure	приключение
advertise	рекламировать
advertisement	реклама
advertising	реклама
advice	совет
advise	советовать
affair	дело
affect	влиять
afford	позволить себе
afraid	испуганный
after	после
afternoon	днем
afterwards	впоследствии
again	снова
against	против
age	возраст
aged	престарелый
agency	агентство
agenda	повестка дня
agent	агент
aggressive	агрессивный
ago	тому назад
agree	согласен
agreement	соглашение
ah	ах
ahead	впереди
aid	помощь
aim	цель
air	воздух
aircraft	воздушное судно
airline	авиакомпания
airport	аэропорт
alarm	тревога
album	альбом
alcohol	алкоголь
alcoholic	алкогольные
alive	живой
all	все
all right	все в порядке
allow	позволять
almost	почти
alone	один
along	вдоль
already	уже
also	тоже
alter	изменять
alternative	альтернатива
although	хотя
always	всегда
amazed	пораженный
amazing	удивительный
ambition	амбиция
ambitious	амбициозный
among	среди
amount	сумма
analyse	анализировать
analysis	анализ
ancient	древний
and	и
anger	гнев
angle	угол
angry	сердитый
animal	животное
ankle	лодыжка
anniversary	годовщина
announce	объявлять
announcement	объявление
annoy	раздражать
annoyed	раздраженный
annoying	раздражающий
annual	ежегодный
another	другой
answer	ответ
anxious	озабоченный
any	какой-нибудь
anybody	кто-нибудь
anymore	больше не
anyone	кто угодно
anything	что-нибудь
anyway	в любом случае
anywhere	везде
apart	отдельно
apartment	квартира
apologize	извиняться
app	апп
apparent	очевидный
apparently	вероятно
appeal	обращение
appear	появиться
appearance	внешность
apple	яблоко
application	приложение
apply	применять
appointment	назначение
appreciate	ценить
