abolish	упразднять
abortion	аборт
absence	отсутствие
absent	отсутствовать
absorb	поглощать
abstract	абстрактный
absurd	абсурд
abundance	изобилие
abuse	злоупотребление
academy	академия
accelerate	ускорять
accent	акцент
acceptance	принятие
accessible	доступный
accidentally	случайно
accommodate	приспособить
accomplish	выполнять
accomplishment	выполнение
accordance	соответствие
accordingly	соответственно
accountability	подотчетность
accountable	подотчетный
accountant	бухгалтер
accumulate	накапливать
accumulation	накопление
accuracy	точность
accurately	точно
accusation	обвинение
accused	обвиняемый
acid	кислота
acquisition	приобретение
acre	акр
activate	активировать
activation	активация
activist	активист
acute	острый
adaptation	адаптация
addiction	зависимость
additionally	дополнительно
adequate	адекватный
adequately	адекватно
adhere	придерживаться
adjacent	примыкающий
adjust	регулировать
adjustment	регулировка
administer	управлять
administrative	административный
administrator	администратор
admission	вход
adolescent	подросток
adoption	принятие
adverse	неблагоприятный
advocate	адвокат
aesthetic	эстетический
affection	привязанность
affordable	доступный
aftermath	последствия
aggression	агрессия
agricultural	сельскохозяйственный
agriculture	сельское хозяйство
aide	помощник
AIDS	СПИД
albeit	хотя
alert	тревога
alien	Инопланетянин
align	выравнивать
alignment	выравнивание
alike	похожий
allegation	утверждение
allege	утверждать
allegedly	якобы
alliance	союз
allocate	распределять
allocation	распределение
allowance	пособие
ally	союзник
alongside	рядом
altogether	в целом
aluminium	алюминий
amateur	любитель
ambassador	посол
ambulance	скорая помощь
amend	изменить
amendment	поправка
amid	среди
amusing	забавный
analogy	аналогия
analyst	аналитик
ancestor	предок
anchor	якорь
angel	ангел
animation	анимация
annually	ежегодно
anonymous	анонимный
anticipate	предвидеть
anxiety	тревожность
apology	извинение
apparatus	устройство
appealing	привлекательный
appetite	аппетит
applaud	аплодировать
applicable	применимый
applicant	заявитель
appoint	назначать
appreciation	признательность
appropriately	соответственно
arbitrary	произвольный
architectural	архитектурный
archive	архив
arena	арена
arguably	вероятно
arm	рука
array	массив
arrow	стрела
articulate	формулировать
artwork	произведение искусства
ash	пепел
aside	в сторону
aspiration	стремление
aspire	стремиться
assassination	убийство
assault	нападение
assemble	собирать
assembly	собрание
assert	утверждать
assertion	утверждение
asset	актив
assign	назначить
assistance	помощь
assumption	предположение
assurance	гарантия
assure	уверять
astonishing	удивительный
asylum	убежище
atrocity	зверство
attachment	привязанность
attain	достигать
attendance	посещаемость
attorney	адвокат
attribute	атрибут
auction	аукцион
audio	аудио
audit	аудит
authentic	аутентичный
authorize	авторизовать
auto	авто
automatic	автоматический
automatically	автоматически
autonomy	автономия
availability	доступность
await	ожидать
awareness	осведомленность
awkward	неловко
backdrop	фон
backing	поддержка
backup	резервная копия
badge	значок
bail	поручительство
balanced	сбалансированный
ballet	балет
balloon	воздушный шар
ballot	голосование
banner	баннер
bare	обнажать
barely	едва
